uid,DOB
2489,0000-00-00
2413,0000-00-00
2419,0000-00-00
149,1945-01-06
222,1945-02-20
102,1945-07-11
221,1947-07-24
2238,1947-12-09
201,1948-03-23
2272,1949-09-10
2453,1950-01-01
2259,1950-03-14
25,1950-06-21
34,1950-12-02
83,1951-02-24
150,1951-03-04
11,1951-03-08
58,1951-06-04
2258,1951-06-09
82,1951-09-11
20,1951-10-10
139,1951-12-19
110,1952-02-24
1690,1952-04-17
96,1952-05-27
14,1952-09-18
68,1952-09-28
50,1952-10-09
3270,1952-10-23
2643,1952-11-13
3294,1953-03-16
2653,1953-04-23
65,1953-08-13
17,1953-11-13
41,1954-01-07
119,1954-02-06
2251,1954-03-08
3416,1954-06-07
2253,1954-06-11
146,1954-06-29
2334,1954-07-10
30,1954-09-13
3224,1954-10-03
2749,1954-10-29
2218,1954-11-12
2302,1954-12-01
2654,1955-01-05
2345,1955-01-11
2288,1955-02-25
59,1955-03-05
26,1955-03-28
2261,1955-04-08
217,1955-06-18
108,1955-06-21
2297,1955-07-17
2293,1955-10-20
5,1956-01-28
209,1956-02-17
67,1956-04-06
166,1956-07-17
231,1956-09-01
6,1956-09-03
147,1956-09-16
1955,1956-09-23
2348,1956-11-28
3335,1956-11-28
176,1957-01-02
153,1957-02-26
3348,1957-04-16
130,1957-05-08
2299,1957-05-26
2229,1957-06-04
32,1957-06-26
2255,1957-08-15
151,1957-09-20
109,1957-10-19
2294,1957-10-26
36,1957-10-28
2683,1957-12-11
2757,1958-02-09
2292,1958-04-15
43,1958-04-15
2318,1958-04-30
66,1958-05-19
2165,1958-06-10
88,1958-06-24
77,1958-07-13
3027,1958-08-03
8,1958-08-09
2346,1958-09-29
127,1958-10-25
152,1958-11-08
132,1958-12-31
161,1959-01-02
122,1959-03-09
2263,1959-03-21
1058,1959-03-23
13,1959-03-29
93,1959-04-23
3331,1959-06-03
1725,1959-11-06
2411,1959-11-07
225,1959-11-09
37,1959-11-14
4,1959-11-22
178,1959-11-22
54,1959-12-28
3319,1960-03-08
2337,1960-03-26
3162,1960-05-20
76,1960-07-15
87,1960-07-18
198,1960-08-08
106,1960-08-14
94,1960-09-09
2260,1960-10-16
2719,1960-11-28
3176,1961-01-09
2172,1961-01-14
859,1961-01-30
3261,1961-03-01
155,1961-03-06
2264,1961-03-10
2926,1961-04-14
111,1961-06-06
1355,1961-06-19
163,1961-06-22
2645,1961-08-26
2324,1961-10-24
1685,1961-11-10
1973,1961-12-02
192,1961-12-31
145,1962-01-08
2340,1962-02-04
1948,1962-04-24
158,1962-05-18
3324,1962-06-27
1345,1962-07-10
49,1962-07-14
2152,1962-10-30
1989,1962-11-03
2759,1962-12-13
2343,1962-12-22
2409,1963-01-01
2307,1963-01-12
282,1963-02-03
2344,1963-02-24
3434,1963-03-04
90,1963-03-25
179,1963-04-13
3102,1963-04-18
140,1963-05-02
2212,1963-06-14
3344,1963-06-16
2151,1963-06-21
157,1963-07-12
2308,1963-07-20
2835,1963-08-16
159,1963-08-18
2917,1963-08-24
1061,1963-08-28
2250,1963-09-12
2929,1963-10-07
2875,1963-10-23
403,1963-11-02
2281,1963-12-01
1940,1963-12-15
3346,1964-01-02
45,1964-01-11
2770,1964-01-20
2404,1964-01-31
1972,1964-02-01
2722,1964-02-09
3278,1964-03-04
2244,1964-04-01
2306,1964-04-08
52,1964-04-15
2595,1964-05-01
2597,1964-05-01
2593,1964-05-02
3297,1964-06-08
3184,1964-06-09
3296,1964-06-26
2138,1964-07-22
2224,1964-08-27
3225,1964-10-09
3343,1964-11-21
2321,1964-12-10
3267,1964-12-15
927,1964-12-26
3332,1964-12-30
3136,1965-01-07
3323,1965-01-11
3419,1965-02-04
2287,1965-02-07
3005,1965-02-17
3216,1965-02-19
661,1965-03-15
3269,1965-03-25
224,1965-03-26
3268,1965-06-05
3233,1965-06-29
2228,1965-06-30
2182,1965-07-22
3271,1965-08-01
3333,1965-08-28
2311,1965-09-02
3315,1965-09-24
2583,1965-10-28
2121,1965-11-28
3441,1965-11-29
2279,1965-12-20
186,1965-12-25
218,1966-01-14
3426,1966-01-21
226,1966-01-29
2162,1966-05-08
89,1966-07-01
2289,1966-10-19
2748,1966-11-29
2003,1967-02-16
2407,1967-03-02
2967,1967-11-04
295,1968-04-30
2892,1968-06-17
2286,1968-11-01
1075,1968-11-04
263,1968-11-26
564,1968-12-10
1657,1969-01-10
2817,1969-02-16
3260,1969-03-24
1813,1969-05-12
1258,1969-05-13
1985,1969-05-14
2278,1969-07-26
1244,1969-08-16
2421,1969-08-19
399,1969-10-01
1419,1969-12-17
562,1969-12-31
3274,1970-01-21
2934,1970-02-16
412,1970-06-12
3165,1970-09-03
3414,1970-10-23
2140,1970-11-12
2530,1971-06-01
2751,1971-06-02
1437,1971-07-21
3215,1971-09-09
1631,1971-10-19
1230,1971-11-15
1137,1971-12-14
424,1972-05-27
647,1972-07-26
2609,1972-07-30
1774,1972-08-06
2790,1972-10-08
1527,1972-11-30
439,1973-03-04
423,1973-03-11
3208,1973-05-09
501,1973-05-17
1750,1973-06-02
3203,1973-06-08
522,1973-08-06
2746,1973-09-05
1274,1973-10-29
1078,1973-11-02
3227,1973-11-02
775,1974-01-01
529,1974-03-13
1237,1974-03-16
509,1974-04-04
3337,1974-04-27
2969,1974-05-23
1986,1974-07-01
1224,1974-07-03
3074,1974-08-04
2577,1974-08-28
3291,1974-10-19
1052,1974-12-03
530,1974-12-26
759,1975-01-04
3221,1975-01-21
3287,1975-03-01
422,1975-04-02
3356,1975-04-28
2778,1975-07-23
3198,1975-08-17
3262,1975-08-20
2630,1975-08-28
1366,1975-09-09
1175,1975-10-04
2691,1975-10-10
3292,1975-10-15
1424,1975-10-26
2787,1975-11-30
1430,1975-12-20
1529,1975-12-23
1296,1976-01-04
2980,1976-01-19
2051,1976-03-08
1369,1976-04-08
277,1976-05-27
426,1976-06-12
1983,1976-07-12
3174,1976-07-21
734,1976-08-26
1632,1976-09-01
3249,1976-09-29
646,1976-10-06
3228,1976-11-29
1795,1976-12-29
2836,1976-12-30
3061,1977-02-04
1261,1977-02-18
1441,1977-03-27
1171,1977-03-28
2961,1977-04-18
3173,1977-04-30
2788,1977-05-10
1898,1977-06-05
2443,1977-06-20
1446,1977-09-18
2791,1977-10-02
2434,1977-10-08
1457,1977-10-31
2437,1977-11-21
425,1977-12-08
3421,1977-12-16
3202,1977-12-23
